Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Afghanistan;South Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Angola;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.7;;;;;;;;;
Albania;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27;;;;;;31.7;;;30.6;;;30;;;;29;;;;;
Andorra;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
United Arab Emirates;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Argentina;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;40.8;;;;;;42.8;45.3;;;;46.8;45.5;44.9;45.9;48.9;49.5;49.1;50.7;49.8;51.1;53.3;53.8;53.5;50.2;49.3;48.3;47.4;46.3;45.3;44.5;43.6;42.5;42.3;42.7;;;
Armenia;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36.2;;35.4;34.8;33;37.5;36;32.5;29.8;30.7;29.6;31.1;31.3;30.5;31.5;31.5;32.4;;
American Samoa;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Australia;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;31.3;;;;32.5;;;;33.2;;;;;;32.6;;;;;;33.5;;33.5;;;;;35.4;;34.7;;;;;;;
Austria;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;29.8;28.7;29.6;30.6;30.4;31.5;30.3;30.8;31.1;30.9;30.5;;;
Azerbaijan;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.7;;;;;;36.5;17.4;18.8;16.2;16.6;;;31.8;;;;;;;;;
Burundi;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.3;;;;;;42.3;;;;;;;;33.4;;;;;;;39.2;;;;
Belgium;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.5;29.3;28;29.2;28.4;28.5;28.4;28.1;27.5;27.7;28.1;;;
Benin;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.6;;;;;;;;43.4;;;;47.8;;
Burkina Faso;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.1;;;;49.9;;;;;43.3;;;;;;39.8;;;;;35.3;;;
Bangladesh;South Asia;;;;;;;;;;;;;;;;;;;;;;;;25.9;;26.9;;;28.9;;;27.6;;;;32.9;;;;;33.4;;;;;33.2;;;;;32.1;;;;;;;
Bulgaria;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.7;;;;;;;;;;;;;;35.7;36.1;33.6;33.8;35.7;34.3;36;36.6;37.4;;;
Bahrain;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bahamas. The;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bosnia and Herzegovina;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30;;;34;;;33.1;;;;33.8;;;;;;
Belarus;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32.3;32;31.2;30.6;30.3;28.8;26.5;27.5;28.3;29.6;27.8;27.7;28.6;27.1;26.5;26.6;27.2;26.7;;
Belize;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;60.3;60.9;;56.6;60.4;54.9;53.3;;;;;;;;;;;;;;;;;;
Bermuda;North America;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bolivia;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42;;;;;;;58.2;;58.1;63;58.9;60.2;;55;58.5;56.9;55.4;51.4;49.7;;46.3;46.7;48.1;48.4;45.8;;
Brazil;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;58;58.4;59;58.4;55.6;58.5;59.7;61.4;63.3;60.5;;53.2;60.1;;59.6;59.9;59.8;59.6;59;;59.3;58.6;58;56.9;56.6;55.9;55.2;54.4;53.9;;53.1;52.7;52.9;51.5;51.3;;
Barbados;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Brunei Darussalam;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bhutan;South Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.8;;;;38.1;;;;;38.8;;;;;
Botswana;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;54.2;;;;;;;;60.8;;;;;;;;;64.7;;;;;;;60.5;;;;;;;;
Central African Republic;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;61.3;;;;;;;;;;;43.6;;;;;56.2;;;;;;;;;
Canada;North America;;;;;;;;;;;;;;;;;;;;;;32.4;;;;;;31.5;;;;31;;;31.3;;;31.6;33.2;;33.3;;;;33.7;;;33.8;;;33.6;;;34;;;;
Central Europe and the Baltics;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Switzerland;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;34.3;33.8;32.9;32.5;31.7;31.6;32.5;;;;
Channel Islands;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Chile;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;56.2;;;57.3;;54.8;;56.4;;54.9;;55.5;;52.8;;;51.5;;;48.2;;;49;;47.6;;47.3;;47.7;;
China;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.8;;;;42.2;;;;;
Cote d'Ivoire;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;45.5;38;40.5;36.9;;;;39.4;;;40.6;;;39;;;;41.3;;;;;;43.2;;;;;;;41.7;;
Cameroon;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.5;;;;;42.1;;;;;;42.8;;;;;;;46.5;;;
Congo. Dem. Rep.;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.2;;;;;;;;42.1;;;;;
Congo. Rep.;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.3;;;;;;48.9;;;;;;
Colombia;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;51.5;;;;56.9;;;58.7;58.7;57.8;58.3;54.4;56.1;55;;;56;55.9;55.5;54.2;53.5;53.5;53.5;51.1;;
Comoros;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;55.9;;;;;;;;;45;;;;
Cabo Verde;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;52.5;;;;;;47.2;;;;;;;;;;
Costa Rica;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;47.5;;;;;34.4;;;46.7;45.3;46.7;45.7;46;46.8;45.7;46.5;45.6;45.7;47.7;47.4;51.1;50.9;49.9;48.9;47.8;49.3;49.5;49.1;51;48.1;48.6;48.6;49.2;48.5;48.2;;
Caribbean small states;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cuba;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Curacao;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cayman Islands;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Cyprus;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.1;30.3;31.1;31.1;31.7;32.1;31.5;32.6;34.3;37;35.6;;;
Czech Republic;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.4;;;;;26.6;;;25.8;;;;;;;;27.5;27;26.7;26;26.3;26.2;26.6;26.4;26.1;26.5;25.9;;;
Germany;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;31.8;31.9;31.1;31.2;30.7;30;;31.4;;;;
Djibouti;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40;;;;;;;;;;45.1;44.1;;;;
Dominica;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Denmark;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;24.9;25.2;25.9;26.2;25.3;26.7;27.3;27.5;27.8;28.5;28.5;;;
Dominican Republic;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;47.8;;;50.5;;;51.4;;;;47.4;48.9;;;52;50.4;50.1;52.1;52;50;51.9;48.7;49;48.9;47.2;47.4;45.7;47.1;44.5;44.9;;
Algeria;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.2;;;;;;;35.3;;;;;;;;;;;;;;;;27.6;;;;;;
East Asia & Pacific (excluding high income);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Early-demographic dividend;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe & Central Asia (excluding high income);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ecuador;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;50.5;;;;;;;53.4;;;;49.7;58.6;56.4;;;55;54.1;54.1;53.2;54.3;50.6;49.3;49.3;46.2;46.6;47.3;45.4;46.5;;
Egypt. Arab Rep.;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;32;;;;;30.1;;;;32.8;;;;;31.9;;;;31.1;;31.5;;29.8;;;31.8;;
Euro area;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eritrea;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Spain;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.3;32.4;32.5;33.1;34.2;34.9;35.3;35.7;35.4;36.2;36;;;
Estonia;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;23;;;;;39.5;;;;;;;;;;37.2;33.6;33.5;33.7;31.2;31.9;31.4;32;32.5;32.9;35.1;34.6;;;
Ethiopia;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;44.6;;;;30;;;;;29.8;;;;;;33.2;;;;;;;
European Union;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fragile and conflict affected situations;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Finland;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;27.9;27.6;28;28.3;27.8;27.5;27.7;27.6;27.1;27.2;26.8;;;
Fiji;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;38.1;;;;;;40.4;;;;;36.4;;;;
France;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.6;29.8;29.7;32.4;33;;33.7;33.3;33;32.5;32.3;;;
Faroe Islands;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Micronesia. Fed. Sts.;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.4;;;;;;;;40.1;;;;
Gabon;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.2;;;;;;;;;;;;
United Kingdom;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36;34.3;34.6;35.7;34.1;34.3;34.4;33.2;32.3;33.2;34.1;;;
Georgia;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;37.1;42;41.3;40.2;40.5;39.6;39.6;39.5;39.8;40.3;39.7;40.6;40.6;41.7;42.1;41.6;41.3;40;40.1;38.5;;
Ghana;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.3;36;;;38.4;;;;;;;40.1;;;;;;;42.8;;;;;;;42.2;;;;;
Gibraltar;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guinea;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.8;;;46.1;;;;;;;;43;;;;;39.4;;;;;33.7;;;;;
Gambia. The;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.5;;;;;47.3;;;;;;;;;;;;;;
Guinea-Bissau;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;43.6;;;;;;;;;35.6;;;;;;;;50.7;;;;;;;
Equatorial Guinea;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greece;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;33.6;34.6;35.1;34;33.6;33.6;34.1;34.8;36.3;36.1;35.8;;;
Grenada;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Greenland;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
