Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;75.55648887;86.46362098;88.70445344;86.25091174;83.62965448;84.64204993;70.68686857;68.5340401;69.40044207;70.85372831;68.57283973;77.93313361;77.9736252;76.45039785;74.92661492;76.27657838;74.81634252;86.43635475;;;;;;
Afghanistan;South Asia;7.024793366;8.097166298;9.349593306;16.86391033;18.05555539;21.41280348;18.57142854;14.20982704;15.21035643;14.98422725;11.94410778;16.1407952;18.10584979;14.74359071;14.84536122;14.27230078;14.86956541;14.8231755;13.87205375;;;;;;;;;;;;;;;;;;;;;;;;65.28770401;94.34417017;87.13932444;77.46714501;74.08505675;58.35004683;55.07254555;42.19922847;44.94347835;44.19394807;39.14239744;49.7577749;45.77387714;48.80161503;49.02497729;
Angola;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;50;50;50;50;33.33333333;33.33333333;25;73.07692308;55.39033457;75.84650113;;69.38781055;69.18180599;73.14436101;92.69729195;62.8277577;74.94651526;56.66897054;62.0289443;54.14485039;53.6388;38.97826466;43.5156264;51.22655142;55.40868388;42.94996785;42.16296198;39.73943253;39.3800088;42.23004207;36.87639466;29.43010082;
Albania;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;22.70948721;21.51496312;23.87753808;20.80901795;19.37734695;18.44986108;15.4675094;15.56251101;19.21801564;20.71837707;23.19633658;27.59180677;88.51224849;62.29254565;38.9503248;34.51204773;32.02443573;34.18999543;34.63703792;32.21301696;38.0533447;38.99879016;44.33536647;45.08471104;44.37488902;47.47122764;48.52105365;54.78820068;52.14930616;49.8541677;48.56400031;51.97704781;47.57268698;46.95742841;47.19485515;44.73661773;45.8222543;
Andorra;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;;;;;;;;;;;;21.95793221;20.6759922;21.13820291;23.90349941;24.77846182;31.86266973;31.90913617;36.94601098;38.52418574;35.91490008;34.27401605;40.03003883;43.10845532;40.64592615;39.22482249;35.01049057;32.67862021;31.23765445;32.65710356;36.16258126;33.51504315;40.05540267;33.70934034;31.92449078;29.24587764;30.56967654;29.20606532;31.11225732;33.41763305;30.13803422;28.20970946;31.5495131;32.10866194;34.34628732;36.15646517;36.43125728;35.88611248;39.72597647;40.83236666;42.25782697;40.24628087;39.43254547;40.08046324;41.00376805;42.40237148;46.09914689;44.58143394;
United Arab Emirates;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40.7053546;43.56831143;46.37697028;53.05488271;51.96768961;50.84287191;64.41405537;69.64565532;73.8086265;79.03289118;81.63109875;85.31346037;85.22885424;89.02284619;96.02390909;101.4397984;
Argentina;Latin America & Caribbean;7.604046979;5.994945316;9.383682891;7.890452033;5.563714075;4.150582972;4.989688034;4.997064147;5.403711423;6.398713317;4.735877405;6.607956034;6.837877358;5.70950079;6.28900906;5.978672496;5.921496328;7.326394155;5.715406434;6.329769174;6.483699779;7.371927999;6.520993021;5.83614942;4.756486117;6.27332705;6.324055248;7.57576407;6.211845636;6.579388793;4.631322407;6.078010811;8.132793114;9.313799872;10.60431557;10.09100624;11.07781653;12.77534581;12.93442929;11.55549991;11.63610614;10.27329136;13.37009726;14.71378084;16.84502668;17.32101515;17.40678527;18.28242031;18.341773;14.49614185;16.03718986;16.75694585;14.28868291;14.71675561;14.00131506;11.84814036;13.49055552;
Armenia;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;46.33273703;60.12046681;61.25600438;60.75417041;73.10079089;62.1869335;55.98955878;58.27447463;52.83943263;49.80215959;50.54328924;46.14880573;46.58686856;50.03500154;45.30238129;43.22970515;39.2502072;39.15081444;40.65575862;43.00440119;45.31719197;47.35401166;48.40002152;48.19706929;47.04654614;41.86526887;42.66403282;
American Samoa;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;108.7548638;108.3491461;110.7421875;122.0675944;127.8225806;119.4230769;133.9253996;82.00589971;93.22916667;97.38675958;99.8447205;100;105.4432348;99.69650986;93.46504559;
