Country Name;;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
Aruba;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;22.08238983;19.27891922;21.82275963;21.3203907;19.75715065;;14.89785957;18.90070915;;20.78879929;19.03619957;21.53726006;22.14365959;21.74546051;20.63408089;21.87458992;19.61272049;;;
Afghanistan;South Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;17.0675602;16.04842949;10.35680008;14.10280037;14.46592999;12.50899982;;
Angola;Sub-Saharan Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.114679813;;5.255080223;;;;;7.992350101;7.454790115;;;;8.68476963;;;;;;;
Albania;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;11.15338993;9.624070168;9.682459831;10.13702965;10.58193016;9.886919975;10.57359982;10.70316029;11.35797024;10.93295002;11.17718983;;;;;;12.12390995;;;;
Andorra;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.79283047;;10.91045523;;13.18470478;;;;;;;;;
United Arab Emirates;Middle East & North Africa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5.023729801;;;;;;;;;;;;;;;;;;;;
Argentina;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;15.39877033;;15.62226963;15.88008976;16.22695923;16.3576107;16.44329071;14.36279011;15.16129017;15.81083965;16.37775993;15.88041973;16.67620087;16.95470047;15.82468033;15.96354008;15.33520031;15.2624197;14.71706009;;;
Armenia;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.64809036;13.57851982;13.46558952;14.26844978;13.45121956;12.40050983;12.59333992;12.36896992;11.13675976;9.367119789;10.65635967;;
American Samoa;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Antigua and Barbuda;Latin America & Caribbean;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.52143002;;;8.855970383;;;;;;;6.916619778;;;;;;;;
Australia;East Asia & Pacific;;;;;;;;;;;;;;;;;;;;;;;;;;;;;13.24973011;13.35091972;13.59171963;14.06530952;13.20401955;15.01692009;14.29701996;14.77005959;14.24612045;;;;13.36015987;;;;;13.58512974;13.17819977;13.03026962;12.59972;13.41501999;14.32759953;13.50201988;13.18365002;14.04586029;13.90009975;;;
Austria;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10.69995022;10.91506004;11.13986015;11.14898014;10.49812984;;9.960459709;9.235019684;;11.16872025;11.24664021;10.5094099;10.48087978;10.38341045;10.1264801;10.24812984;9.858980179;9.989089966;10.01484013;10.14745998;10.65725994;10.85356045;11.05856037;10.77493;10.9517498;10.48320961;;;
Azerbaijan;Europe & Central Asia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;41.40279007;20.03853989;;14.21675014;17.88669014;18.49799919;18.77296066;11.3968401;11.52328968;13.33164024;13.12067986;8.184909821;9.178480148;8.552769661;9.571430206;8.748539925;7.346549988;5.63888979;6.395180225;7.375470161;;;
